gene,mRNA_level
moeA,626.07
ybiK,1251.9
yliA,1250.05
yliB,802.166
yliC,411.454
yliD,364.981
yliE,414.608
yliF,577.912
yliG,1198.94
yliH,196.357
yliI,696.47
yliJ,1367.75
dacC,1209.61
deoR,510.244
ybjG,1116.44
cmr,855.219
ybjH,252.632
ybjI,343.62
ybjJ,550.661
ybjK,212.986
ybjL,1039.9
ybjM,675.69
grxA,568.887
ybjC,1274.8
nfsA,1510.57
rimK,481.651
ybjN,742.156
potF,1704.86
potG,592.089
potH,817.606
potI,924.879
ybjO,463.15
ybjF,358.586
artJ,2731.51
artM,774.428
artQ,917.294
artI,2373.21
artP,1740
ybjP,1346.95
ybjQ,890.183
ybjR,488.698
ybjS,466.961
ybjT,1067.04
ltaE,1196.5
poxB,1465.35
hcr,114.596
hcp,121.785
ybjE,579.841
aqpZ,397.598
ybjD,564.544
ybjX,1606.32
macA,645.492
macB,1427.58
cspD,1955.08
yljA,3804.48
clpA,2845.83
infA,4330.66
aat,445.9
cydC,686.339
cydD,610.821
trxB,1355.98
lrp,3082.29
ftsK,1408.87
lolA,1587.36
ycaJ,680.941
serS,1339.67
dmsA,102.777
dmsB,101.118
dmsC,1180.83
ycaC,1398.73
ycaD,776.357
ycaM,76.9265
ycaN,127.082
ycaK,257.447
pflA,948.34
pflB,2450.74
focA,1882.14
ycaO,748.666
ycaP,563.73
serC,3374.74
aroA,3281.09
ycaL,305.937
cmk,3360.86
rpsA,6527.57
himD,3660.37
ycaI,79.2083
msbA,855.079
lpxK,730.962
ycaQ,161.979
ycaR,2214.2
kdsB,1539.58
ycbJ,597.129
ycbC,721.862
smtA,1886.62
mukF,1319.57
mukE,2336.12
mukB,1038.2
ycbB,1072.31
ycbK,2847.72
ycbL,1464.63
aspC,4309.93
ompF,8545.57
asnS,1338.38
pncB,1531.88
pepN,1159.04
ssuB,375.007
ssuC,N.D.
ssuD,780.049
ssuA,420.894
ssuE,241.065
ycbQ,146.236
ycbR,1361.31
ycbS,139.612
ycbT,160.614
ycbU,511.786
ycbV,268.343
ycbF,240.395
pyrD,1612.2
ycbW,764.091
ycbX,685.111
ycbY,793.666
uup,754.717
pqiA,443.466
