gene,mRNA_level
ylaN,11.41
ftsW,1.69
pycA,11.56
ctaA,16.59
ctaB,13.41
ctaF,1.11
ylbA,4.67
ylbB,0.22
ylbF,4.71
ylbG,4.1
ylbH,2.8
coaD,3.74
ylbK,1.01
ylbL,1.42
ylzH,2.42
ylbN,48.58
rpmF,148.5
ylbP,1.28
ylbQ,0.46
yllA,2.93
yllB,15.82
mraW,12.6
ftsL,22.94
pbpB,4.23
murE,1.89
mraY,4.26
murD,6.71
spoVE,5
murG,4.13
murB,6.51
divIB,2.22
ylxW,2.66
ylxX,3.74
sbp,3.32
ftsA,7.84
ftsZ,22.51
ylmD,3.86
ylmE,6.44
sepF,12.37
ylmG,14.08
ylmH,4.17
divIVA,13.86
ileS,7.34
lspA,1.11
rluD,2.99
pyrR,4.95
pyrP,9.93
pyrB,6.41
pyrC,10.06
pyrAA,16.77
carB,21.35
pyrK,22.26
pyrD,21.92
pyrF,20.54
pyrE,22.38
cysH,1.58
sirC,1.45
yloA,1.49
yloC,4.84
ylzA,9.95
gmk,10.78
rpoZ,14.47
coaBC,1.34
priA,1.22
def,1.22
fmt,2.47
rsmB,3.92
yloN,4.83
prpC,5.38
prkC,5.3
yloQ,7.11
rpe,9.18
thiN,2.09
spoVM,3.09
rpmB,384.59
yloU,5.52
yloV,7.12
sdaAB,1.63
sdaAA,2.58
recG,1.3
ylpC,5.99
plsX,7.43
fabD,10.9
fabG,16.42
acpP,364.4
rnc,9.92
smc,2.68
ftsY,6.08
ylxM,16.13
ffh,16.17
rpsP,139.42
ylqC,107.85
ylqD,1.77
rimM,2.46
trmD,2.53
rplS,667.03
rbgA,3.25
rnhB,0.63
ylqG,0.75
ylqH,0.63
sucC,34.6
sucD,34.79
dprA,0.18
topA,3.93
gid,3.39
xerC,6.46
clpQ,8.48
hslU,12.72
codY,25.36
flgB,2.07
flgC,2.61
fliE,3.39
fliF,3.51
fliG,4.75
fliH,5.52
fliI,4.26
fliJ,4.43
ylxF,4.44
fliK,4.74
flgD,5.65
flgG,6.94
ylzI,6.15
fliL,5.83
fliM,6.81
fliY,7.55
cheY,11.73
fliZ,7.02
fliP,4.15
fliQ,4.53
fliR,3.71
flhB,3.8
flhA,3.44
flhF,3.27
ylxH,3.09
cheB,3.16
cheA,4.33
cheW,5.25
cheC,4.56
cheD,4.39
sigD,4.69
ylxL,5.19
rpsB,131.22
tsf,75.6
pyrH,15.75
frr,19.53
uppS,3.07
cdsA,3.78
dxr,6.13
rseP,10.26
proS,15.82
polC,2.29
ylxS,5.43
nusA,8.42
ylxR,11.29
ylxQ,11.06
infB,17.58
ylxP,34.88
rbfA,25.95
truB,2.05
ribC,4.58
rpsO,558.32
pnpA,22.9
ylxY,1.72
mlpA,2.21
asd,11.76
dapG,7.42
dapA,18.56
rnjB,11.76
spoIIIE,1.04
ymfC,2.31
ymfF,5.68
ymfH,11.96
fabG,2.29
ymfJ,3.5
ymfM,4.92
pgsA,3.06
cinA,5.01
recA,15.12
pbpX,2.88
ymdA,33.33
ymdB,1.9
spoVS,9.04
tdh,1.64
kbl,1.79
ymcB,6.18
ymcA,14.79
mutS,0.87
mutL,1.97
pksS,1.43
ymaD,3.98
hfq,15.69
ymzA,1.45
nrdI,1.09
nrdE,2.98
nrdF,7.39
ymaB,2.05
ynbA,0.61
ynbB,1.18
glnR,8.81
glnA,35.75
ynaB,1.87
ynaC,1.34
xylR,1.08
xylA,8.28
xylB,4.22
cotU,2.01
yncM,2.58
cotC,4.02
tatAC,1.12
yndB,5.05
yndN,4.16
lexA,5.02
ynzC,1.23
tkt,46.19
yneF,32.19
yneJ,5.79
yneK,1.25
citB,6.8
yneN,1.26
yneR,5.34
yneS,2.49
yneT,3.06
parE,1.87
parC,5.83
ynfC,7.48
alsT,3.09
yngC,1.49
dacC,1.04
yoeA,1.38
iseA,59.07
fabG,31.7
yoxC,0.84
yoaF,6.36
yoaG,5.27
exlX,1.43
yoaM,1.37
yozS,1.5
penP,1.23
xynA,15.35
yozV,2.25
rapK,3.82
phrK,22.38
yobI,1.2
yobJ,8.16
yocA,4.27
yozB,6.55
yocH,17.14
yocJ,12.96
yocK,1.71
yocL,0.72
yoyB,0.68
yocM,0.63
yozN,0.82
yocN,0.74
yozO,9.87
yozC,5.35
dhaS,1.35
yocR,0.6
odhB,83.15
sucA,63.83
yojO,2.84
yojN,1.72
yojG,5.43
yojF,4.72
yoyC,3.62
yojE,1.77
yodB,1
yodC,10.27
ctpA,2.36
yodI,1.22
yodJ,6.16
deoD,17.69
yodM,0.31
cgeC,1.74
cgeA,4.55
cgeB,3
yotL,0.14
yosA,7.81
yorD,10.57
yorB,2.24
yopU,1.08
yopT,1.29
yopS,4.61
yopR,2.8
yopQ,1.56
yopO,0.84
yopL,20.69
yopK,1.69
yoyI,2.26
yopD,1.77
yopC,1.07
yopA,1.23
yonU,6.91
yoyJ,4.96
yonT,1.25
yonR,0.23
yonN,1.11
yonI,2.02
yonC,1.44
yonB,1.29
yonA,1.48
yomZ,1.06
yomY,1.33
yomU,1.12
youA,1.4
yomT,1.64
yomL,1.61
youB,1.81
yomJ,1.14
bdbB,6.18
yolJ,4.17
bdbA,3.22
